,strain,strain,species,genus,family,order,class,phylum,superkingdom,species group,clade,no rank,subspecies,serotype,subphylum,subkingdom,kingdom,serogroup,species subgroup,subgenus,subclass
Pseudomonas aeruginosa LES400,Pseudomonas aeruginosa LES400,Pseudomonas aeruginosa LES400,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Escherichia coli ESBL 63103,Escherichia coli ESBL 63103,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Staphylococcus aureus C623,Staphylococcus aureus C623,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Enterococcus faecium mic80,Enterococcus faecium mic80,,Enterococcus sp. EnGen0037,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,unclassified Enterococcus,,,,,,,,,
Candida albicans C627,Candida albicans C627,Candida albicans (strain SC5314 / ATCC MYA-2876),Candida albicans,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukaryota,,Opisthokonta,,,,Saccharomycotina,Dikarya,Fungi,,,,
Pseudomonas aeruginosa ATCC 19660,Pseudomonas aeruginosa ATCC 19660,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Staphylococcus aureus A170,Staphylococcus aureus A170,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Bacillus subtilis PS832,Bacillus subtilis PS832,Bacillus subtilis (strain 168),Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus subtilis group,Terrabacteria group,,Bacillus subtilis subsp. subtilis,,,,,,,,
Escherichia coli DL7,Escherichia coli DL7,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa ATCC BAA-427,Pseudomonas aeruginosa ATCC BAA-427,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Escherichia coli D31,Escherichia coli D31,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa CCARM 2180,Pseudomonas aeruginosa CCARM 2180,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Acinetobacter baumannii ATCC BAA-1605,Acinetobacter baumannii ATCC BAA-1605,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Staphylococcus aureus KCCM 40510,Staphylococcus aureus KCCM 40510,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Enterococcus faecalis ATCC 51575,Enterococcus faecalis ATCC 51575,Enterococcus faecalis EnGen0207,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Shigella sonnei ATCC 11060,Shigella sonnei ATCC 11060,Shigella sonnei (strain Ss046),Shigella sonnei,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Salmonella enterica subsp. enterica serovar Typhimurium ATCC 13311,Salmonella enterica subsp. enterica serovar Typhimurium ATCC 13311,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella typhimurium,Salmonella enterica I,,,,,,,,
Vibrio cholerae O1 Inaba,Vibrio cholerae O1 Inaba,Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961),Vibrio cholerae,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Vibrio cholerae serotype O1 biovar El Tor,,,,,,Vibrio cholerae O1,,,
Listeria monocytogenes 10403s,Listeria monocytogenes 10403s,Listeria monocytogenes serotype 1/2a (strain 10403S),Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Streptococcus group B HNTCC 80130,Streptococcus group B HNTCC 80130,,Streptococcus sp. group G,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,unclassified Streptococcus,,,,,,,,,
Klebsiella pneumoniae KK3 9904,Klebsiella pneumoniae KK3 9904,Klebsiella pneumoniae (strain 342),Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Enterobacter cloacae HNTCC 53001,Enterobacter cloacae HNTCC 53001,Enterobacter hormaechei subsp. hoffmannii ECR091,Enterobacter hormaechei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,Enterobacter cloacae complex,,,Enterobacter hormaechei subsp. hoffmannii,,,,,,,,
Streptococcus sobrinus ATCC 33478,Streptococcus sobrinus ATCC 33478,Streptococcus sobrinus DSM 20742 = ATCC 33478,Streptococcus sobrinus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Salmonella typhimurium ATCC 7731,Salmonella typhimurium ATCC 7731,Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella typhimurium,Salmonella enterica I,,,,,,,,
Pseudomonas aeruginosa M76,Pseudomonas aeruginosa M76,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa M917,Pseudomonas aeruginosa M917,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa M1251,Pseudomonas aeruginosa M1251,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa M1426,Pseudomonas aeruginosa M1426,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa R70,Pseudomonas aeruginosa R70,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas stutzeri,Pseudomonas stutzeri,Stutzerimonas stutzeri RCH2,Stutzerimonas stutzeri,Stutzerimonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Stutzerimonas stutzeri group,,,,,,,,,Stutzerimonas stutzeri subgroup,,
Pseudomonas fluorescens,Pseudomonas fluorescens,Pseudomonas fluorescens NZI7,Pseudomonas fluorescens,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas fluorescens group,,,,,,,,,,,
Achromobacter xylosoxidans,Achromobacter xylosoxidans,Achromobacter xylosoxidans (strain A8),Alcaligenes xylosoxydans xylosoxydans,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa 8600,Pseudomonas aeruginosa 8600,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Streptococcus pyogenes,Streptococcus pyogenes,Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394),Streptococcus pyogenes,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,Streptococcus pyogenes serotype M6,,,,,,,
Proteus mirabilis,Proteus mirabilis,Proteus mirabilis (strain HI4320),Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Stenotrophomonas maltophilia ATCC 13637,Stenotrophomonas maltophilia ATCC 13637,,Stenotrophomonas maltophilia,Stenotrophomonas,Lysobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,Stenotrophomonas maltophilia group,,,,,,,,,,,
Staphylococcus aureus ATCC 33592,Staphylococcus aureus ATCC 33592,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Bacillus subtilis IFO 3513,Bacillus subtilis IFO 3513,Bacillus subtilis (strain 168),Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus subtilis group,Terrabacteria group,,Bacillus subtilis subsp. subtilis,,,,,,,,
Staphylococcus aureus IFO 12732,Staphylococcus aureus IFO 12732,,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli IFO 12734,Escherichia coli IFO 12734,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Escherichia coli ATCC 43827,Escherichia coli ATCC 43827,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Klebsiella pneumoniae DSM 30104,Klebsiella pneumoniae DSM 30104,Klebsiella pneumoniae subsp. pneumoniae DSM 30104 = JCM 1662 = NBRC 14940,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,Klebsiella pneumoniae subsp. pneumoniae,,,,,,,,
Candida albicans FH2173,Candida albicans FH2173,Candida albicans (strain SC5314 / ATCC MYA-2876),Candida albicans,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukaryota,,Opisthokonta,,,,Saccharomycotina,Dikarya,Fungi,,,,
Escherichia coli CGSC 4908,Escherichia coli CGSC 4908,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Enterococcus faecium E007,Enterococcus faecium E007,,Enterococcus sp. EnGen0037,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,unclassified Enterococcus,,,,,,,,,
Escherichia coli ATCC 9637,Escherichia coli ATCC 9637,Escherichia coli (strain ATCC 9637 / CCM 2024 / DSM 1116 / LMG 11080 / NBRC 13500 / NCIMB 8666 / NRRL B-766 / W),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Staphylococcus aureus ATCC 700698,Staphylococcus aureus ATCC 700698,Staphylococcus aureus (strain Mu3 / ATCC 700698),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus ATCC 700699,Staphylococcus aureus ATCC 700699,Staphylococcus aureus (strain Mu50 / ATCC 700699),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli O157:H7 CICC 21530,Escherichia coli O157:H7 CICC 21530,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa CICC 10419,Pseudomonas aeruginosa CICC 10419,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Enterococcus faecium CMCC 1.2136,Enterococcus faecium CMCC 1.2136,,Enterococcus sp. EnGen0037,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,unclassified Enterococcus,,,,,,,,,
Staphylococcus aureus NBRC 12732,Staphylococcus aureus NBRC 12732,,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli NBRC 12734,Escherichia coli NBRC 12734,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa NBRC 3080,Pseudomonas aeruginosa NBRC 3080,,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Staphylococcus aureus USA 100,Staphylococcus aureus USA 100,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli ESBL ,Escherichia coli ESBL ,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Mycobacterium tuberculosis H37Rv,Mycobacterium tuberculosis H37Rv,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria,Mycobacterium tuberculosis complex,Terrabacteria group,,,,,,,,,,
Pseudomonas aeruginosa PAO1 H103,Pseudomonas aeruginosa PAO1 H103,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Escherichia coli LMG 15862,Escherichia coli LMG 15862,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Klebsiella pneumoniae LMG 20218,Klebsiella pneumoniae LMG 20218,Klebsiella pneumoniae (strain 342),Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Pseudomonas aeruginosa LMG 6395,Pseudomonas aeruginosa LMG 6395,,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Acinetobacter baumannii LMG 01041,Acinetobacter baumannii LMG 01041,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Klebsiella aerogenes LMG 02094,Klebsiella aerogenes LMG 02094,,Klebsiella aerogenes,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Staphylococcus aureus USA 400,Staphylococcus aureus USA 400,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus ATCC 6538P,Staphylococcus aureus ATCC 6538P,,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Aeromonas salmonicida NCIMB 1102,Aeromonas salmonicida NCIMB 1102,,Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Staphylococcus epidermidis KCTC 1917,Staphylococcus epidermidis KCTC 1917,Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A),Staphylococcus epidermidis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Listeria monocytogenes KCTC 19111,Listeria monocytogenes KCTC 19111,Listeria monocytogenes serotype 1/2a (strain 10403S),Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli BW25113 del-sbmA,Escherichia coli BW25113 del-sbmA,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Lactococcus lactis subsp. lactis IL1403,Lactococcus lactis subsp. lactis IL1403,Lactococcus lactis subsp. lactis (strain IL1403),Lactococcus lactis,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,Lactococcus lactis subsp. lactis,,,,,,,,
Aeromonas salmonicida ATCC 33658,Aeromonas salmonicida ATCC 33658,,Aeromonas salmonicida,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Klebsiella pneumoniae NCTC 13442,Klebsiella pneumoniae NCTC 13442,Klebsiella pneumoniae (strain 342),Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Acinetobacter baumannii Q13-0717,Acinetobacter baumannii Q13-0717,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Pseudomonas aeruginosa Q14-0208,Pseudomonas aeruginosa Q14-0208,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Campylobacter jejuni NCTC 11351,Campylobacter jejuni NCTC 11351,,Campylobacter jejuni,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Campylobacterota,Bacteria,,,,,,,,,,,,
Listeria monocytogenes NCTC 11994,Listeria monocytogenes NCTC 11994,Listeria monocytogenes serotype 4b str. NCTC 11994,Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,Listeria monocytogenes serotype 4b,,,,,,,
Staphylococcus aureus ATCC BAA-41,Staphylococcus aureus ATCC BAA-41,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Streptococcus sanguinis,Streptococcus sanguinis,Streptococcus sanguinis SK1 = NCTC 7863,Streptococcus sanguinis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Listeria innocua,Listeria innocua,Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262),Listeria innocua,Listeria,Listeriaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Micrococcus luteus,Micrococcus luteus,Micrococcus luteus (strain ATCC 4698 / DSM 20030 / JCM 1464 / CCM 169 / CCUG 5858 / IAM 1056 / NBRC 3333 / NCIMB 9278 / NCTC 2665 / VKM Ac-2230),Micrococcus luteus,Micrococcus,Micrococcaceae,Micrococcales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,,,,,,,,,
Pasteurella multocida,Pasteurella multocida,Pasteurella multocida (strain Pm70),Pasteurella multocida,Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,Pasteurella multocida subsp. multocida,,,,,,,,
Shigella flexneri ATCC 12022,Shigella flexneri ATCC 12022,,Shigella flexneri,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Acinetobacter baumannii NM75,Acinetobacter baumannii NM75,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Acinetobacter baumannii NM124,Acinetobacter baumannii NM124,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Shigella dysenteriae,Shigella dysenteriae,Shigella dysenteriae serotype 1 (strain Sd197),Shigella dysenteriae,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Candida glabrata,Candida glabrata,Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138),Candida glabrata,Nakaseomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukaryota,,Opisthokonta,,,,Saccharomycotina,Dikarya,Fungi,,,,
Vibrio harveyi,Vibrio harveyi,Vibrio harveyi (strain 1DA3),Vibrio harveyi,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Pseudomonadota,Bacteria,Vibrio harveyi group,,,,,,,,,,,
Vibrio parahaemolyticus,Vibrio parahaemolyticus,Vibrio parahaemolyticus serotype O3:K6 (strain AQ3810),Vibrio parahaemolyticus,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Pseudomonadota,Bacteria,Vibrio harveyi group,,,,,,,,,,,
Vibrio cholerae,Vibrio cholerae,Vibrio cholerae (strain MO10),Vibrio cholerae,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Aeromonas sobria,Aeromonas sobria,,Aeromonas sobria,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Bacillus subtilis 168,Bacillus subtilis 168,Bacillus subtilis (strain 168),Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus subtilis group,Terrabacteria group,,Bacillus subtilis subsp. subtilis,,,,,,,,
Corynebacterium glutamicum CGMCC 1.1886,Corynebacterium glutamicum CGMCC 1.1886,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / BCRC 11384 / CCUG 27702 / LMG 3730 / NBRC 12168 / NCIMB 10025 / NRRL B-2784 / 534),Corynebacterium glutamicum,Corynebacterium,Corynebacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli CGMCC 1.2389,Escherichia coli CGMCC 1.2389,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Staphylococcus aureus ATCC 27660,Staphylococcus aureus ATCC 27660,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Micrococcus luteus A270,Micrococcus luteus A270,Micrococcus luteus (strain ATCC 4698 / DSM 20030 / JCM 1464 / CCM 169 / CCUG 5858 / IAM 1056 / NBRC 3333 / NCIMB 9278 / NCTC 2665 / VKM Ac-2230),Micrococcus luteus,Micrococcus,Micrococcaceae,Micrococcales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus ST1065,Staphylococcus aureus ST1065,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Pseudomonas aeruginosa ATCC 10419,Pseudomonas aeruginosa ATCC 10419,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa ATCC 21625,Pseudomonas aeruginosa ATCC 21625,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa ATCC 21630,Pseudomonas aeruginosa ATCC 21630,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Escherichia coli HB101,Escherichia coli HB101,Escherichia coli HB101,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
